Кат 1 ур ID;Кат  1 ур;Кат 2 ур ID;Категория;Внешний код;Артикул;Наименование;Доп. Описание;Цена;Валюта;Наличие;Материал основной;Размер;Цвет;Картинка основная;Картинка дополнительная_1;Картинка дополнительная_2;Картинка дополнительная_3;Картинка дополнительная_4;Картинка дополнительная_5;Картинка дополнительная_6
2;Ортопедия;21;Бандажи, корсеты;105;105;Алком 2010 1 размер, белый;Бандаж до-послеродовой ;220;UAH;есть в наличии;Полиэфир, латекс;1;Белый;/bandaji_korsety_var/Alkom_2010_belyy.png;;;;;;
2;Ортопедия;21;Бандажи, корсеты;106;106;Алком 2010 2 размер, белый;Бандаж до-послеродовой ;220;UAH;есть в наличии;Полиэфир, латекс;2;Белый;/bandaji_korsety_var/Alkom_2010_belyy.png;;;;;;
2;Ортопедия;21;Бандажи, корсеты;108;108;Алком 2010 3 размер, белый;Бандаж до-послеродовой ;220;UAH;есть в наличии;Полиэфир, латекс;3;Белый;/bandaji_korsety_var/Alkom_2010_belyy.png;;;;;;
2;Ортопедия;21;Бандажи, корсеты;109;109;Алком 2010 4 размер, белый;Бандаж до-послеродовой ;220;UAH;есть в наличии;Полиэфир, латекс;4;Белый;/bandaji_korsety_var/Alkom_2010_belyy.png;;;;;;
2;Ортопедия;21;Бандажи, корсеты;111;111;Алком 2010 1 размер, бежевый;Бандаж до-послеродовой ;235;UAH;есть в наличии;Полиэфир, латекс;1;Бежевый;/bandaji_korsety_var/Alkom_2010_bezhevyy.png;;;;;;
2;Ортопедия;21;Бандажи, корсеты;112;112;Алком 2010 2 размер, бежевый;Бандаж до-послеродовой ;235;UAH;есть в наличии;Полиэфир, латекс;2;Бежевый;/bandaji_korsety_var/Alkom_2010_bezhevyy.png;;;;;;
2;Ортопедия;21;Бандажи, корсеты;113;113;Алком 2010 3 размер, бежевый;Бандаж до-послеродовой ;235;UAH;есть в наличии;Полиэфир, латекс;3;Бежевый;/bandaji_korsety_var/Alkom_2010_bezhevyy.png;;;;;;
2;Ортопедия;21;Бандажи, корсеты;114;114;Алком 2010 4 размер, бежевый;Бандаж до-послеродовой ;235;UAH;есть в наличии;Полиэфир, латекс;4;Бежевый;/bandaji_korsety_var/Alkom_2010_bezhevyy.png;;;;;;
2;Ортопедия;21;Бандажи, корсеты;115;115;Алком 2010 1 размер, черный;Бандаж до-послеродовой ;220;UAH;есть в наличии;Полиэфир, латекс;1;Черный;/bandaji_korsety_var/Alkom_2010_chernyy.png;;;;;;
2;Ортопедия;21;Бандажи, корсеты;117;117;Алком 2010 2 размер, черный;Бандаж до-послеродовой ;220;UAH;есть в наличии;Полиэфир, латекс;2;Черный;/bandaji_korsety_var/Alkom_2010_chernyy.png;;;;;;
2;Ортопедия;21;Бандажи, корсеты;118;118;Алком 2010 3 размер, черный;Бандаж до-послеродовой ;220;UAH;есть в наличии;Полиэфир, латекс;3;Черный;/bandaji_korsety_var/Alkom_2010_chernyy.png;;;;;;
2;Ортопедия;21;Бандажи, корсеты;119;119;Алком 2010 4 размер, черный;Бандаж до-послеродовой ;220;UAH;есть в наличии;Полиэфир, латекс;4;Черный;/bandaji_korsety_var/Alkom_2010_chernyy.png;;;;;;
