Кат 1 ур ID;Кат 1 ур;Кат 2 ур ID;Категория;Внешний код;Артикул;Наименование;Доп. Описание;Название на русском;Описание;Цена;Валюта;Наличие;Производитель;Страна;Тип;Категория;Назначение;Сезон;Материал;Материал подкладки;Материал подошвы;Застежки;Стелька;Супинатор;Каблук ;Комплектация;Возможные размеры;Возможные цвета;Вес;Картинка основная;Картинка дополнительная_1;Картинка дополнительная_2;Картинка дополнительная_3;Картинка дополнительная_4
2;Ортопедия;26;Ортопедическая обувь;1673;1673;ОРТЕКС Т-13;Сандали ортопедические;ОРТЕКС Т-13;"<p>Шлепанцы ортопедические Ортекс Т-13 имеют классический дизайн с двумя регулируемыми металлическими застежками для выбора нужного объема подьема. Производятся в 4-ох цветах (белый, беж, розовый, коричневый), для мужчин и для женщин, а также как специализированная медицинская обувь. Шлепанцы ортопедические Ортекс Т-13 имеют корковый супинатор для поддержки продольного и поперечного свода стопы, анатомической формы комфортную кожаную стельку, двухсоставную подошву из пробкопласта и микропористой резины.</p>
<h2>Показание к применению шлепанцев ортопедических Ортекс Т-13:</h2>
<ul>
<li>В комплексной терапии лечения заболеваний опорно-двигательного аппарата, ног, позвоночника, суставов, деформации стоп;</li>
<li>Профилактика плоскостопия и варикозного расширения вен;</li>
<li>Высокая утомляемость ног, работы связанные с длительным пребыванием на ногах.</li>
</ul>
<h2>Действие:</h2>
<ul>
<li>Физиологически правильное распределение нагрузки на стопу за счет поддержки внутреннего и внешнего свода стопы;</li>
<li>Шлепанцы ортопедические Ортекс Т-13 амортизируют нагрузку на позвоночник, поглощают микросотрясения на мозг;</li>
<li>Постоянное ношение улучшает кровообращение, снижает отечность, предупреждает варикозное расширение вен.</li>
</ul>
<h3>Преимущества шлепанцев ортопедических Ортекс Т-13:</h3>
<ul>
<li>Амортизирующий корковый супинатор, кожаная анатомическая стелька и двусоставная подошва из пробкопласта и микропористой резины;</li>
<li> Внутренняя и внешняя часть шлепанцев Ортекс Т-13 изготовлены из натуральной кожи или замша;</li>
<li>Можно использовать как уличную, домашнюю или специализированную медицинскую обувь.</li>
</ul>
<p>Изделие 10-и размеров, 4-и цвета (белый, беж, розовый, коричневый).</p>";220;UAH;есть в наличии;ОРТЕКС;Украина;Сандали;Для взрослых;профилактическая;Летние/домашние/медицинские;Натуральная кожа или замша;корковый супинатор;двусоставная подошва из пробкопласта и микропористой резины;металические;Несъемная анатомическая;Есть;Нет;;от 23 до 31;Белый, беж, розовый, коричневый;;/orto_obuv/Orteks_T-13.jpg;/orto_obuv_add/Orteks_T-13_1.jpg;/orto_obuv_add/Orteks_T-13_2.jpg;/orto_obuv_add/Orteks_T-13_3.jpg;
2;Ортопедия;26;Ортопедическая обувь;1707;1707;ОРТЕКС Т-25;Сандали ортопедические;ОРТЕКС Т-25;"<p>Шлепанцы ортопедические Ортекс Т-25 имеют модные широкие кожаные ремешки с двумя регулируемыми металлическими застежками, которые хорошо фиксируют шлепанцы на стопе, идеально садятся на любой подъем ноги. Производятся в ультрамодных 5-ти цветах (белый, беж, розовый, голубой и синий), подходят для мужчин и для женщин, есть вариант белого для медицинских учреждений. Шлепанцы ортопедические Ортекс Т-25 имеют корковый супинатор специальной формы и анатомическую кожаную стельку для профилактики и лечения всех видов плоскостопия, а также двухсоставную подошву из пробкопласта и микропористой резины для удобного повседневного ношения.</p>
<h2>Показание к применению шлепанцев ортопедических Ортекс Т-25:</h2>
<ul>
<li>Плоскостопие, заболевания опорно-двигательного аппарата, варикозное расширение вен;</li>
<li>Профилактика заболеваний стопы, отечности ног, при болях в ногах, высокой утомляемости.</li>
</ul>
<h2>Действие:</h2>
<ul>
<li>Поддержка анатомически правильного положения стопы, равномерное распределение нагрузки, профилактика продольного и поперечного плоскостопия;</li>
<li>Шлепанцы ортопедические Ортекс Т-25 производят амортизирующий эффект на суставы, позвоночник и головной мозг;</li>
<li>Профилактика варикозного расширения вен, за счет улучшения кровообращение и снижения отечности.</li>
</ul>
<h3>Преимущества шлепанцев ортопедических Ортекс Т-13:</h3>
<ul>
<li>Имеют ультрамодные цвета, а том числе белый – для медицинских учреждений;</li>
<li>Шлепанцы ортопедические Ортекс Т-25 имеют широкие кожаные ремешки, которые хорошо фиксируют шлепанцы на стопе, на любую полноту;</li>
</ul>
<p>Изделие 6-и размеров, 5-и цветов (белый, беж, розовый, голубой, синий).</p>";210;UAH;есть в наличии;ОРТЕКС;Украина;Сандали;Для взрослых;профилактическая;Летние/домашние/медицинские;Натуральная кожа или замша;корковый супинатор;двусоставная подошва из пробкопласта и микропористой резины;металические;Несъемная анатомическая;Есть;Нет;;от 25 до 30;Белый, беж, розовый, голубой, синий;;/orto_obuv/Orteks_T-25.jpg;/orto_obuv_add/Orteks_T-25_1.jpg;/orto_obuv_add/Orteks_T-25_2.jpg;/orto_obuv_add/Orteks_T-25_3.jpg;
2;Ортопедия;26;Ортопедическая обувь;1675;1675;ОРТЕКС Т-56;Сандали ортопедические;ОРТЕКС Т-56;"<p>Шлепанцы ортопедические Ортекс Т-56 – это популярная изысканная женская модель для среднего подъема стопы на широкой липучке, которая хорошо фиксируют шлепанцы на ноге. Производятся в 2-ух нежных цветах (бледно-бежевый, бледно-розовый), имеют успех для профилактики всех видов плоскостопия, постоянное ношение которых снижает отечность, улучшает кровообращение, уменьшает вероятность появления варикозной болезни ног. Шлепанцы ортопедические Ортекс Т-56 имеют корковый супинатор, двухсоставную подошву из пробкопласта и микропористой резины, внутренняя и внешняя части изготовлены из натуральной кожи.</p>
<h2>Показание к применению шлепанцев ортопедических Ортекс Т-56:</h2>
<ul>
<li>Профилактика заболеваний опорно-двигательного аппарата, ног, позвоночника и суставов;</li>
<li>Лечение продольного и/или поперечного плоскостопия;</li>
<li>Высокая утомляемость ног, отечность, варикозная болезнь.</li>
</ul>
<h2>Действие:</h2>
<ul>
<li>Перераспределение нагрузки на стопу, физиологически правильная поддержка внутреннего и внешнего свода стопы;</li>
<li>Шлепанцы ортопедические Ортекс Т-56 амортизируют нагрузку на позвоночник, улучшают кровообращение, снижают отечность, предупреждают варикозное расширение вен.</li>
</ul>
<h3>Преимущества шлепанцев ортопедических Ортекс Т-56:</h3>
<ul>
<li>Внутренняя и внешняя часть изготовлены из натуральной кожи или замша, корковый супинатор, анатомическая стелька и двусоставная подошва из пробкопласта и микропористой резины;</li>
<li>Женская модель шлепанцев Ортекс Т-56 изысканных и нежных цветов.</li>
</ul>
<p>Изделие 5-и размеров, 2-ух цветах (нежно бежевый, нежно-розовый).</p>
";240;UAH;есть в наличии;ОРТЕКС;Украина;Сандали;Женская модель;профилактическая;Летние;Натуральная кожа или замша;корковый супинатор;двусоставная подошва из пробкопласта и микропористой резины;Велькро (липучки) ;Несъемная анатомическая;Есть;Нет;;от 23 до 27;нежно бежевый, нежно-розовый;;/orto_obuv/Orteks_T-56.jpg;/orto_obuv_add/Orteks_T-56_1.jpg;/orto_obuv_add/Orteks_T-56_2.jpg;/orto_obuv_add/Orteks_T-56_3.jpg;
2;Ортопедия;26;Ортопедическая обувь;1718;1718;ОРТЕКС Т-58;Сандали ортопедические;ОРТЕКС Т-58;"<p>Шлепанцы ортопедические Ортекс Т-58 – популярная мужская модель с изысканным дизайном: с внутренней стороны стопы два кожаные ремешки, которые фиксируются двумя металлическими застежками на фигурном продольном ремешке. Производятся в 3-ох классических цветах (светло-серый, темно-серый, бежевый), рассчитаны на достаточно высокий подъем ноги. Шлепанцы ортопедические Ортекс Т-58 используют для лечения и профилактики продольного и поперечного плоскостопия, деформаций стоп, заболеваний суставов, отечности ног, варикозной болезни.</p>
<h2>Показание к применению шлепанцев ортопедических Ортекс Т-58:</h2>
<ul>
<li>Профилактика заболеваний опорно-двигательного аппарата, ног, позвоночника и суставов;</li>
<li>Лечение продольного и/или поперечного плоскостопия;</li>
<li>Высокая утомляемость ног, отечность, варикозная болезнь.</li>
</ul>
<h2>Действие:</h2>
<ul>
<li>Поддержка внутреннего и внешнего свода стопы, перераспределение нагрузки на стопу;</li>
<li>Шлепанцы ортопедические Ортекс Т-58 амортизируют нагрузку на позвоночник, улучшают кровообращение, снижают отечность, предупреждают варикозное расширение вен.</li>
</ul>
<h3>Преимущества шлепанцев ортопедических Ортекс Т-58:</h3>
<ul>
<li>Внутренняя и внешняя часть изготовлены из натуральной кожи или замша, корковый супинатор, анатомическая стелька и двусоставная подошва из пробкопласта и микропористой резины;</li>
<li>Мужская модель шлепанцев Ортекс Т-58 изысканного дизайна с продольным фигурным ремешком.</li>
</ul>
<p>Изделие 9-и размеров, 3-ох классических цветов (светло-серый, темно-серый, бежевый).</p>
";285;UAH;есть в наличии;ОРТЕКС;Украина;Сандали;Мужская модель;профилактическая;Летние;Натуральная кожа или замша;корковый супинатор;двусоставная подошва из пробкопласта и микропористой резины;металические;Несъемная анатомическая;Есть;Нет;;от 23 до 31;светло-серый, темно-серый, бежевый;;/orto_obuv/Orteks_T-58.jpg;/orto_obuv_add/Orteks_T-58_1.jpg;/orto_obuv_add/Orteks_T-58_2.jpg;/orto_obuv_add/Orteks_T-58_3.jpg;
2;Ортопедия;26;Ортопедическая обувь;1419;1419;Tellus PV 020;Сандали ортопедические;Теллус PV 020;"<p>Детские ортопедические босоножки ТМ «Теллус», модель PV-020 (антивальгус) – повседневная кожаная лечебная ортопедическая детская обувь для исправления Х-образных ножек. Обувь изготавливается различных расцветок для мальчиков, и для девочек, имеет стельку-супинатор ВП-2, которая изготавливается по стандартам Укрпротеза. Есть вариант модели без супинатора для использования индивидуальной сменной стельки. Детские ортопедические босоножки ТМ «Теллус», модель PV-020 (антивальгус) назначают детский хирург-ортопед, реабилитолог в комплексной терапии для лечения плоско-вальгусной деформации стоп. Данную модель чаще используют как сменную обувь в детский сад.</p>
<h2>Показание к применению Детских ортопедических босоножек ТМ «Теллус», модель PV-020 (антивальгус):</h2>
<ul>
<li>Профилактика продольного и поперечного плоскостопия;</li>
<li>Лечение плоскостопия І-ІІІ степени;</li>
<li>Уплощение продольного свода и вальгусная установка пяточного отдела стопы;</li>
<li>Плоско-вальгусная деформация стопы І-ІІІ степени, а также Х-образной деформацией ножек;</li>
<li>В комплексной терапии лечения проблем опорно-двигательного аппарата у детей, неврологических, генетических и врожденных заболеваний.</li>
</ul>
<h2>Действие:</h2>
<ul>
<li>Двухсторонний жесткий берец, фиксирует голеностопный сустав в вертикальном положении и удерживает пяточный отдел стопы от вальгусного отклонения;</li>
<li>Каблук утолщенный во внутренней части стопы наискось (каблук Томаса), для исправления гиперпронации;</li>
<li>Ортопедическая стелька-супинатор ВП-1 или ВП-2, поддержка внутреннего свода стопы, для необходимой супинации гиперпронированной стопы;</li>
<li>Супинаторная вкладка имеет гнездо для размещения пятки, корректор поперечного и продольного свода стопы;</li>
<li>Жесткий задник фиксирует подтаранный и голеностопный сустав в вертикальном положении и препятствует вращению пятки.</li>
</ul>
<h3>Преимущества Детских ортопедических босоножек ТМ «Теллус», модель PV-020 (антивальгус):</h3>
<ul>
<li>Высокие и жесткие берцы, ортопедическая стелька ВП-2 с выкладкой продольного свода и супинатором в пяточном отделе стопы;</li>
<li>Жёсткий задник, плотная фиксация стопы за счёт трёх регулируемых застёжек-липучек, упругая, легкая и дополнительно прошитая подошва с каблуком Томаса;</li>
<li>Изготавливается вручную из натуральной кожи, подошва из микропористой резины или литьевая.</li>
</ul>
<h3>Размеры измеряются в сантиметрах по внутренней стельке, от 12см до 20см с половинками.</h3>
";415;UAH;есть в наличии;Теллус;Украина;Босоножки;Для детей;PV - плоско-вальгусная;Летние;Натуральная кожа;кожаный супинатор;микропористая резина;Велькро (липучки) ;Несъемная анатомическая;ВП-2;Томаса;;12см до 20см с половинками;Синие, светло розовые, ярко розовые, зеленые, красные, белые, оливковые;;/orto_obuv/Tellus_PV_020.jpg;;;;
2;Ортопедия;26;Ортопедическая обувь;1523;1523;4Rest Orto 03-501;Кроссовки ортопедические, голубой/беж;Форест Орто 03-501;"<p>Кроссовки ортопедические 4RestOrto, Модель 03-501 – стильные мягкие ортопедические кроссовки для активных малышей имеют средней высоты жесткий задник, мягкую подкладку из трикотажного полотна, скрываемую танкетку-каблучок, усиленный носок с помощью удлиненной закругленной протекторной подошвы, закрывающую носочную часть, изготовленной из легкого упругого износостойкого материала EVA, обладают хорошими амортизирующими свойствами. Кроссовки ортопедические 4RestOrto, Модель 03-501 можно использовать в качестве профилактики плоско-вальгусной, эквино-вальгусной деформаций стоп, продольного плоскостопия. Данная модель хорошо сидит на ножке благодаря жесткому заднику и двух удобных липучек, имеет зафиксированный супинатор.</p>
<h2>Показание к применению кроссовок ортопедических 4RestOrto, Модель 03-501:</h2>
<ul>
<li>Профилактика продольного плоскостопия;</li>
<li>Уплощение продольного свода и вальгусная установка пяточного отдела стопы;</li>
<li>Профилактика Х-образной постановки стоп, плоско-вальгусной и эквино-вальгусной деформации;</li>
<li>В комплексной терапии лечения проблем опорно-двигательного аппарата у детей.</li>
</ul>
<h2>Действие:</h2>
<ul>
<li>Жесткий задник (берец), фиксирует подтаранный и голеностопный сустав в вертикальном положении и удерживает пяточный отдел стопы от вальгусного отклонения, препятствует вращению пятки;</li>
<li>Каблук утолщенный во внутренней части стопы наискось, для исправления гиперпронации;</li>
<li>Ортопедическая стелька-супинатор для поддержки внутреннего свода стопы.</li>
</ul>
<h3>Преимущества кроссовок ортопедических 4RestOrto, Модель 03-501:</h3>
<ul>
<li>Средней высоты жесткий задник, ортопедическая стелька с выкладкой продольного свода;</li>
<li>Плотная фиксация стопы за счёт двух регулируемых липучек, упругая, легкая износостойкая подошва, обладающая хорошими амортизирующими свойствами;</li>
<li>Изготавливается вручную из натуральной кожи, мягкая подкладка из трикотажного полотна, подошва из легкого упругого износостойкого материала EVA.</li>
</ul>
<h3>Размеры измеряются в сантиметрах по внутренней стельке, от 12,5 см до 23 см с половинками.</h3>
";620;UAH;есть в наличии;4Rest Оrto ;Россия;Кросовки;Для детей;профилактическая;Демисезонные;Натуральная кожа;Трикотаж;износостойкий материал EVA;Велькро (липучки) ;Несъемная;Нет;Нет;Детские ортопедические кроссовки ;от 20 до 35 (12,5-23 см);Синий/Молочный;;/orto_obuv/4Rest_Оrto_03-501.jpeg;/orto_obuv_add/4Rest_Оrto_03-501_1.jpeg;;;
2;Ортопедия;26;Ортопедическая обувь;1525;1525;4Rest Orto 03-502;Кроссовки ортопедические, оранж/беж;Форест Орто 03-502;"<p>Кроссовки ортопедические 4RestOrto, Модель 03-502 – стильные мягкие ортопедические кроссовки для активных малышей имеют средней высоты жесткий задник, мягкую подкладку из трикотажного полотна, скрываемую танкетку-каблучок, усиленный носок с помощью удлиненной закругленной протекторной подошвы, закрывающую носочную часть, изготовленной из легкого упругого износостойкого материала EVA, обладают хорошими амортизирующими свойствами. Кроссовки ортопедические 4RestOrto, Модель 03-502 можно использовать в качестве профилактики плоско-вальгусной, эквино-вальгусной деформаций стоп, продольного плоскостопия. Данная модель хорошо сидит на ножке благодаря жесткому заднику и двух удобных липучек, имеет зафиксированный супинатор.</p>
<h2>Показание к применению кроссовок ортопедических 4RestOrto, Модель 03-502 PV:</h2>
<ul>
<li>Профилактика продольного плоскостопия;</li>
<li>Уплощение продольного свода и вальгусная установка пяточного отдела стопы;</li>
<li>Профилактика Х-образной постановки стоп, плоско-вальгусной и эквино-вальгусной деформации;</li>
<li>В комплексной терапии лечения проблем опорно-двигательного аппарата у детей.</li>
</ul>
<h2>Действие:</h2>
<ul>
<li>Жесткий задник (берец), фиксирует подтаранный и голеностопный сустав в вертикальном положении и удерживает пяточный отдел стопы от вальгусного отклонения, препятствует вращению пятки;</li>
<li>Каблук утолщенный во внутренней части стопы наискось, для исправления гиперпронации;</li>
<li>Ортопедическая стелька-супинатор для поддержки внутреннего свода стопы.</li>
</ul>
<h3>Преимущества кроссовок ортопедических 4RestOrto, Модель 03-502 PV:</h3>
<ul>
<li>Средней высоты жесткий задник, ортопедическая стелька с выкладкой продольного свода;</li>
<li>Плотная фиксация стопы за счёт двух регулируемых липучек, упругая, легкая износостойкая подошва, обладающая хорошими амортизирующими свойствами;</li>
<li>Изготавливается вручную из натуральной кожи, мягкая подкладка из трикотажного полотна, подошва из легкого упругого износостойкого материала EVA.</li>
</ul>
<h3>Размеры измеряются в сантиметрах по внутренней стельке, от 12,5 см до 23 см с половинками.</h3>";620;UAH;есть в наличии;4Rest Оrto ;Россия;Кросовки;Для детей;профилактическая;Демисезонные;Натуральная кожа;Трикотаж;износостойкий материал EVA;Велькро (липучки) ;Несъемная;Нет;Нет;Детские ортопедические кроссовки ;от 20 до 35 (12,5-23 см);Оранжевый/Бежевый;;/orto_obuv/4Rest_Оrto_03-502.jpeg;/orto_obuv_add/4Rest_Оrto_03-502_2.jpeg;;;
2;Ортопедия;26;Ортопедическая обувь;1909;1909;4Rest Orto 03-408;Ботинки демисезонные, розовые;Форест Орто 03-408;"<p>Ботинки демисезонные 4RestOrto, Модель 03-408 PV – лечебные с жестким высоким берцем ортопедические демисезонные ботинки, мягко и прочно удерживают голеностоп, предназначены для исправления продольного и поперечного плоскостопия, плоско-вальгусной и еквино-вальгусной деформации стоп, Х-образной постановки ножек, а также в комплексной терапии лечения заболеваний опорно-двигательного аппарата у детей. Ботинки демисезонные 4RestOrto, Модель 03-408 PV имеют каблучок Томаса для смещения нагрузки с пятки и формирования правильного изгиба стопы. Супинаторная вкладка (типа ВП-2) имеет гнездо для фиксирования пятки, супинатор вдоль внутреннего края стопы продленный до пяточного отдела. Всю ортопедическую обувь подбирают только с учета назначения детского хирурга ортопеда, или реабилитолога, в комплексной терапии для лечения плоско-вальгусной деформации стоп.</p>
<h2>Показание к применению ботинок демисезонных 4RestOrto, Модель 03-408 PV:</h2>
<ul>
<li>Профилактика продольного и поперечного плоскостопия;</li>
<li>Лечение плоскостопия І-ІІІ степени;</li>
<li>Уплощение продольного свода и вальгусная установка пяточного отдела стопы;</li>
<li>Плоско-вальгусная деформация стопы І-ІІІ степени, а также Х-образной деформацией ножек;</li>
<li>В комплексной терапии лечения проблем опорно-двигательного аппарата у детей, неврологических, генетических и врожденных заболеваний.</li>
</ul>
<h2>Действие:</h2>
<ul>
<li>Двухсторонний жесткий берец, фиксирует голеностопный сустав в вертикальном положении и удерживает пяточный отдел стопы от вальгусного отклонения;</li>
<li>Каблук утолщенный во внутренней части стопы наискось (каблук Томаса), для исправления гиперпронации;</li>
<li>Ортопедическая стелька-супинатор ВП-1 или ВП-2, поддержка внутреннего свода стопы, для необходимой супинации гиперпронированной стопы;</li>
<li>Супинаторная вкладка имеет гнездо для размещения пятки, корректор поперечного и продольного свода стопы;</li>
<li>Жесткий задник фиксирует подтаранный и голеностопный сустав в вертикальном положении и препятствует вращению пятки.</li>
</ul>
<h3>Преимущества ботинок демисезонных 4RestOrto, Модель 03-408 PV:</h3>
<ul>
<li>Высокие жесткие берцы, ортопедическая стелька ВП-2 с выкладкой продольного свода и супинатором в пяточном отделе стопы;</li>
<li>Жёсткий задник, закрытый носочек, плотная фиксация стопы за счёт двух регулируемых липучек, легкая и дополнительно прошитая подошва с каблуком Томаса;</li>
<li>Изготавливается вручную из натуральной кожи, подошва: износостойкий материал TPR (Thermo Plastic Rubber).</li>
</ul>
<h3>Размеры измеряются в сантиметрах по внутренней стельке, от 12 см до 23,3 см с половинками.</h3>";630;UAH;есть в наличии;4Rest Оrto ;Россия;Ботинки;Для детей;PV - плоско-вальгусная;Весенне/Осенние;Натуральная кожа;Натуральная кожа;износостойкий материал TPR (Thermo Plastic Rubber);Велькро (липучки) ;Несъемная;Есть;Есть;Детские ортопедические ботинки;от 19 до 35 (12 см -23,3 см);Розовый;;/orto_obuv/4Rest_Оrto_03-408.jpg;/orto_obuv_add/4Rest_Оrto_03-408_0.jpg;;;
2;Ортопедия;26;Ортопедическая обувь;1514;1514;4Rest Orto 03-407;Ботинки демисезонные, серо-синие;Форест Орто 03-407;"<p>Ботинки демисезонные 4RestOrto, Модель 03-407 PV – лечебные с жестким высоким берцем ортопедические демисезонные ботинки, мягко и прочно удерживают голеностоп, предназначены для исправления продольного и поперечного плоскостопия, плоско-вальгусной и еквино-вальгусной деформации стоп, Х-образной постановки ножек, а также в комплексной терапии лечения заболеваний опорно-двигательного аппарата у детей. Ботинки демисезонные 4RestOrto, Модель 03-407 PV имеют каблучок Томаса для смещения нагрузки с пятки и формирования правильного изгиба стопы. Супинаторная вкладка (типа ВП-2) имеет гнездо для фиксирования пятки, супинатор вдоль внутреннего края стопы продленный до пяточного отдела. Всю ортопедическую обувь подбирают только с учета назначения детского хирурга ортопеда, или реабилитолога, в комплексной терапии для лечения плоско-вальгусной деформации стоп.</p>
<h2>Показание к применению ботинок демисезонных 4RestOrto, Модель 03-407 PV:</h2>
<ul>
<li>Профилактика продольного и поперечного плоскостопия;</li>
<li>Лечение плоскостопия І-ІІІ степени;</li>
<li>Уплощение продольного свода и вальгусная установка пяточного отдела стопы;</li>
<li>Плоско-вальгусная деформация стопы І-ІІІ степени, а также Х-образной деформацией ножек;</li>
<li>В комплексной терапии лечения проблем опорно-двигательного аппарата у детей, неврологических, генетических и врожденных заболеваний.</li>
</ul>
<h2>Действие:</h2>
<ul>
<li>Двухсторонний жесткий берец, фиксирует голеностопный сустав в вертикальном положении и удерживает пяточный отдел стопы от вальгусного отклонения;</li>
<li>Каблук утолщенный во внутренней части стопы наискось (каблук Томаса), для исправления гиперпронации;</li>
<li>Ортопедическая стелька-супинатор ВП-1 или ВП-2, поддержка внутреннего свода стопы, для необходимой супинации гиперпронированной стопы;</li>
<li>Супинаторная вкладка имеет гнездо для размещения пятки, корректор поперечного и продольного свода стопы;</li>
<li>Жесткий задник фиксирует подтаранный и голеностопный сустав в вертикальном положении и препятствует вращению пятки.</li>
</ul>
<h3>Преимущества ботинок демисезонных 4RestOrto, Модель 03-407 PV:</h3>
<ul>
<li>Высокие жесткие берцы, ортопедическая стелька ВП-2 с выкладкой продольного свода и супинатором в пяточном отделе стопы;</li>
<li>Жёсткий задник, закрытый носочек, плотная фиксация стопы за счёт двух регулируемых липучек, легкая и дополнительно прошитая подошва с каблуком Томаса;</li>
<li>Изготавливается вручную из натуральной кожи, подошва: износостойкий материал TPR (Thermo Plastic Rubber).</li>
</ul>
<h3>Размеры измеряются в сантиметрах по внутренней стельке, от 12 см до 23,3 см с половинками.</h3>";590;UAH;есть в наличии;4Rest Оrto ;Россия;Ботинки;Для детей;PV - плоско-вальгусная;Весенне/Осенние;Натуральная кожа;Натуральная кожа;износостойкий материал TPR (Thermo Plastic Rubber);Велькро (липучки) ;Несъемная;Есть;Есть;Детские ортопедические ботинки;от 19 до 35 (12 см -23,3 см);Синий/Серый;;/orto_obuv/4Rest_Orto_03-407.jpg;;;;
2;Ортопедия;26;Ортопедическая обувь;1512;1512;4Rest Orto 03-406;Ботинки демисезонные, розовые;Форест Орто 03-406;"<p>Ботинки демисезонные 4RestOrto, Модель 03-406 PV – лечебные ортопедические демисезонные ботинки, жесткие снаружи и мягкие внутри, высокие на шнуровке для плотного удержания голеностопа, предназначены для исправления продольного и поперечного плоскостопия, плоско-вальгусной и еквино-вальгусной деформации стоп, Х-образной постановки ножек, а также в комплексной терапии лечения заболеваний опорно-двигательного аппарата у детей. Ботинки демисезонные 4RestOrto, Модель 03-406 PV мягко фиксируют ногу, имеют высокий жесткий задник (берец), каблучок Томаса для смещения нагрузки с пятки и формирования правильного изгиба стопы. Супинаторная вкладка (типа ВП-2) имеет гнездо для фиксирования пятки, супинатор вдоль внутреннего края стопы продленный до пяточного отдела. Всю ортопедическую обувь подбирают только с учета назначения детского хирурга ортопеда, или реабилитолога, в комплексной терапии для лечения плоско-вальгусной деформации стоп.</p>
<h2>Показание к применению ботинок демисезонных 4RestOrto, Модель 03-406 PV:</h2>
<ul>
<li>Профилактика продольного и поперечного плоскостопия;</li>
<li>Лечение плоскостопия І-ІІІ степени;</li>
<li>Уплощение продольного свода и вальгусная установка пяточного отдела стопы;</li>
<li>Плоско-вальгусная деформация стопы І-ІІІ степени, а также Х-образной деформацией ножек;</li>
<li>В комплексной терапии лечения проблем опорно-двигательного аппарата у детей, неврологических, генетических и врожденных заболеваний.</li>
</ul>
<h2>Действие:</h2>
<ul>
<li>Двухсторонний жесткий берец, фиксирует голеностопный сустав в вертикальном положении и удерживает пяточный отдел стопы от вальгусного отклонения;</li>
<li>Каблук утолщенный во внутренней части стопы наискось (каблук Томаса), для исправления гиперпронации;</li>
<li>Ортопедическая стелька-супинатор ВП-1 или ВП-2, поддержка внутреннего свода стопы, для необходимой супинации гиперпронированной стопы;</li>
<li>Супинаторная вкладка имеет гнездо для размещения пятки, корректор поперечного и продольного свода стопы;</li>
<li>Жесткий задник фиксирует подтаранный и голеностопный сустав в вертикальном положении и препятствует вращению пятки.</li>
</ul>
<h3>Преимущества ботинок демисезонных 4RestOrto, Модель 03-406 PV:</h3>
<ul>
<li>Высокие жесткие берцы, ортопедическая стелька ВП-2 с выкладкой продольного свода и супинатором в пяточном отделе стопы;</li>
<li>Жёсткий задник, закрытый носочек, плотная фиксация стопы за счёт удлиненной шнуровки, легкая и дополнительно прошитая подошва с каблуком Томаса;</li>
<li>Изготавливается вручную из натуральной кожи, подошва: износостойкий материал TPR (Thermo Plastic Rubber).</li>
</ul>
<h3>Размеры измеряются в сантиметрах по внутренней стельке, от 12 см до 22,8 см с половинками.</h3>";630;UAH;есть в наличии;4Rest Оrto ;Россия;Ботинки;Для детей;PV - плоско-вальгусная;Весенне/Осенние;Натуральная кожа;Натуральная кожа;износостойкий материал TPR (Thermo Plastic Rubber);шнуровка;Несъемная;Есть;Есть;Детские ортопедические ботинки;от 19 до 35 (12 см -23,3 см);Розовый;;/orto_obuv/4Rest_Orto_03-406.jpg;;;;
