Кат 1 ур ID;Кат 1 ур;Кат 2 ур ID;Категория;Внешний код;Артикул;Наименование;Доп. Описание;Название на русском;Описание;Цена;Валюта;Наличие;Производитель;Страна;Тип (Категория);Материал внешней части;Материал встроенных частей;Назначение;Фиксатор;Размер;Возможные размеры;Возможные цвета;В комплект входит;Основная картинка;Картинка дополнительная_1;Картинка дополнительная_2;Картинка дополнительная_3
2;Ортопедия;25;Ортопедические стельки, супинаторы;1571;1571;Lucky Step LS35;Вкладыш под переднюю часть стопы;Лаки Степ ЛС35;"<p>Вкладыш под переднюю часть стопы имеет анатомически правильную форму, чем удобен и не заметен при носке, хорошо фиксируется в обуви.  Выполняет массажную функцию, защищает стопу от натираний. Вкладыш  снимает нагрузку и амортизирует  передний свод стопы, снимает болевые ощущения в переднем своде стопы, которая является стрессовой зоной при носке модельной обуви, дополнительно пропитан эфирными маслами чем снимает воспалительный процесс в суставе. Вкладыш удобен в использовании и не требует дополнительного ухода.</p>

<h2>Показания к применению Вкладыша под переднюю часть стопы Lucky Step LS35:</h2>
<ul>
<li>Боль и жжение в области плюсневых фаланг стопы при ходьбе;</li>
<li>Вальгусная деформация первого пальца стопы;</li>
<li>Натоптыши и мозоли на  передней доле стопы.</li>
</ul>

<h2>Действие:</h2>
<ul>
<li>Снимает нагрузку с плюсневых костей стопы и фаланг пальцев;</li>
<li>Улучшает кровообращение и лимфообращение в ногах;</li>
<li>Фиксирует стопу в обуви;</li>
<li>Снимает воспаление с суставов стопы;</li>
<li>Вкладыш под переднюю часть стопы Lucky Step LS35 защищает от травм.</li>
</ul>

<h3>Преимущества Вкладыша под переднюю часть стопы Lucky Step LS35:</h3>
<li>Изготовлен из гиппоалергенного двухслойнего медицинского геля, пропитанного эфирными маслами;</li>
<li>Имеет перфорированную поверхность которая массажирует и улучшает кровообращение в дистальных частях ног;</li>
<li>Вкладыш под переднюю часть стопы Lucky Step LS35 имеет клеевую поверхность снизу, чем крепко фиксируется на стельке любой Вашей обуви;</li>
<li>Обладает универсальным размером и  подходит под любую обувь.</li>
</ul>
";69;UAH;есть в наличии;Lucky Step ;Великобритания;Ортопедическое изделие под переднюю часть стопы;Медицинский гель (силикон);;Для закрытой обуви;;;Универсальный;Прозрачный;Упаковка, Вкладыш под переднюю часть стопы;/supinatory/Lucky_Step_LS35.jpg;/supinatory_add/Lucky_Step_LS35.jpg;/supinatory_add/Lucky_Step_LS35_1.jpg;
2;Ортопедия;25;Ортопедические стельки, супинаторы;1596;1596;Lucky Step LS33;Вкладыш под плюсну (большой) в открытую обувь;Лаки Степ ЛС33;"<p>Вкладыш под плюсну (большой) в открытую обувь LS33 защищает поверхность кожи переднего отдела стопы от повреждений, предупреждает появление трещин, твердых и мягких мозолей, натоптышей плюсны. Подходит для открытой обуви.</p> 

<h2>Показания к применению вкладыша под плюсну (большой) в открытую обувь LS33:</h2> 
<ul>
<li>Боль в плюсневую кости;</li>
<li>Ощущение жжения в ступнях при ходьбе;</li>
<li>Скрещенные пальцы ног;</li>
<li>Натоптыши и мозоли на ступнях ног.</li>
</ul>

<h2>Видеообзор Lucky Step LS33</h2><p><iframe width=""890"" height=""500"" src=""https://www.youtube.com/embed/eiv7XI_RJHY"" frameborder=""0"" allowfullscreen></iframe></p>

<h2>Действие:</h2>
<ul>
<li>Вкладыш под плюсну LS33 смягчает ударную нагрузку с продольного свода стопы;</li>
<li>Оказывает массажное воздействие на поперечный свод стопы;</li>
<li>Уменьшает боль и трение скрещенных пальцев.</li>
</ul>

<h3>Преимущества вкладыша под плюсну LS33 (большой) в открытую обувь:</h3>
<ul>
<li>Комфортная текстурная поверхность;</li>
<li>Идеально для открытой обуви, босоножек;</li>
<li>Вкладыш LS33 изготовлен из двухслойного медицинского геля высшего сорта.</li>
</ul>

<p><b>Изделие имеет универсальный размер.</b></p>

";59;UAH;есть в наличии;Lucky Step ;Великобритания;Ортопедическое изделие под плюсну;Медицинский гель (силикон);;Для вьетнамок;;;Универсальный;Прозрачный;Упаковка, Вкладыш под плюсну (большой) в открытую обувь;/supinatory/Lucky_Step_LS33.jpg;/supinatory_add/Lucky_Step_LS33.jpg;/supinatory_add/Lucky_Step_LS33_1.jpg;
2;Ортопедия;25;Ортопедические стельки, супинаторы;1570;1570;Lucky Step LS32;Вкладыш под плюсну (маленький) в открытую обувь;Лаки Степ ЛС32;"<p>Вкладыш под плюсну (маленький) в открытую обувь LS32 предназначен для защиты поверхности кожи от повреждений в открытой обуви. Предотвращает появление трещин, мозолей и натоптышей плюсны, устраняет жжение в области передней части стопы.</p> 

<h2>Показания к применению вкладыша под плюсну (маленький) в открытую обувь
LS32:</h2> 
<ul>
<li>Боль в плюсневой кости;</li>
<li>Ощущение жжения в ступнях при ходьбе;</li>
<li>Мозоли и волдыри на ступнях ног.</li>
</ul>

<h2>Видеообзор Lucky Step LS32</h2><p><iframe width=""890"" height=""500"" src=""https://www.youtube.com/embed/JdyeTYMYXLw"" frameborder=""0"" allowfullscreen></iframe></p>

<h2>Действие:</h2>
<ul>
<li>Вкладыш под плюсну LS32 уменьшает боль в передней части стопы;</li>
<li>Оказывает массажное воздействие на плюсневые фаланги;</li>
<li>Уменьшает боль и трения скрещенных пальцев.</li>
</ul>

<h3>Преимущества вкладыша под плюсну LS32 (маленький) в открытую обувь:</h3>
<ul>
<li>Комфортная текстурная поверхность отводит лишнюю влагу;</li>
<li>Идеально для открытой обуви, босоножек;</li>
<li>Вкладыш LS32 изготовлен из двухслойного медицинского геля высшего сорта.</li>
</ul>

<p><b>Изделие имеет универсальный размер.</b></p>
";51;UAH;есть в наличии;Lucky Step ;Великобритания;Ортопедическое изделие под плюсну;Медицинский гель (силикон);;Для вьетнамок;;;Универсальный;Прозрачный;Упаковка, Вкладыш под плюсну (маленький) в открытую обувь;/supinatory/Lucky_Step_LS32.jpg;/supinatory_add/Lucky_Step_LS32.jpg;/supinatory_add/Lucky_Step_LS32_1.jpg;
2;Ортопедия;25;Ортопедические стельки, супинаторы;328;328;Lucky Step LS08;Вкладыш под плюсну;Лаки Степ ЛС08;"<p>Вкладыш под плюсну Lucky Step LS08 удобен при использовании обуви на каблуках. За счет своей гелевой текстуры снимает напряжение в передней части стопы, амортизирует и защищает стопы  от механических повреждений. Предотвращает появление натоптишей и   мозолей на стопе, а при их наличии смягчает удары во время ходьбы в течении дня. Устраняет воспаление суставов. Не требует особых усилий в использовании и хранении.</p>

<h2>Показания к применению Вкладыша под плюсну Lucky Step LS08:</h2>
<ul>
<li>Мозоли, натоптиши и другие уплотнения мягких тканей стопы;</li>
<li>Вальгусная деформация первого пальца стопы;</li>
<li>Поперечное плоскостопие.</li>
</ul>

<h2>Действие:</h2>
<ul>
<li>Снимает напряжение с переднего отдела стопы;</li>
<li>Устраняет болевой синдром при ходьбе;</li>
<li>Гелевая текстура изделия амортизирует удары во время ходьбы;</li>
<li>Lucky Step LS08 уменьшает чувствительный порог при наличии невром и различных отверденениях на коже;</li>
<li>Предупреждает развитие мозолей и натоптишей на мягких тканях стопы.</li>
</ul>

<h3>Преимущества Lucky Step LS08:</h3>
<li>Не вызывает аллергий;</li>
<li>Имеет уникальный размер подходящий для любого типа обуви;</li>
<li>Не требует дополнительного ухода;</li>
<li>Обладает универсальным размером и  подходит под любую обувь.</li>
</ul>
";97;UAH;есть в наличии;Lucky Step ;Великобритания;Ортопедическое изделие под плюсну;Медицинский гель (силикон);;Для закрытой обуви;;;Универсальный;Белый, прозрачный;Упаковка, Вкладыш под плюсну;/supinatory/Lucky_Step_LS08.jpg;/supinatory_add/Lucky_Step_LS08.jpg;/supinatory_add/Lucky_Step_LS08_1.jpg;/supinatory_add/Lucky_Step_LS08_2.jpg
2;Ортопедия;25;Ортопедические стельки, супинаторы;1601;1601;Lucky Step LS37;Вкладыш под поперечный свод стопы;Лаки Степ ЛС37;"<p>Вкладыш под поперечный свод стопы LS37 защищает передний отдел стопы от повреждений, появления мозолей, натоптышей, трещин на коже стопы. Устраняет жжение, дискомфорт и боль. Идеально подходит для модельной обуви.</p> 

<h2>Показания к применению вкладыша под переднюю часть стопы LS37:</h2> 
<ul>
<li>Поперечное плоскостопие;</li>
<li>Натоптыши и затвердевания на ступнях ног;</li>
<li>Слишком длинная сустав ноги.</li>
</ul>

<h2>Видеообзор Lucky Step LS37</h2><p><iframe width=""890"" height=""500"" src=""https://www.youtube.com/embed/LjdlDjsYU0Y"" frameborder=""0"" allowfullscreen></iframe></p>

<h2>Действие:</h2>
<ul>
<li>Вкладыш под поперечный свод стопы LS37 смягчает ударную нагрузку при ходьбе;</li>
<li>Снимает жжение и боль в стопе;</li>
<li>Защищает поперечный свод стопы и плюсневые кости от осевой нагрузки.</li>
</ul>

<h3>Преимущества вкладыша под поперечный свод стопы LS37:</h3>
<ul>
<li>Идеально для модельной женской обуви;</li>
<li>Специальная встроенная подушка для снятия ударной нагрузки с пятки;</li>
<li>Вкладыш изготовлен из клейкого полиуретанового геля высшего сорта, который удерживает вкладыш точно на месте крепления.</li>
</ul>

<p><b>Изделие имеет универсальный размер.</b></p>

";82;UAH;есть в наличии;Lucky Step ;Великобритания;Ортопедическое изделие под переднюю/поперечную часть стопы;Медицинский гель (силикон);;Для закрытой обуви;;;Универсальный;Разноцветный;Упаковка, Вкладыш под поперечный свод стопы;/supinatory/Lucky_Step_LS37.jpg;/supinatory_add/Lucky_Step_LS37.jpg;/supinatory_add/Lucky_Step_LS37_1.jpg;
2;Ортопедия;25;Ортопедические стельки, супинаторы;470;470;Lucky Step LS06;Клейкие подушечки от мозолей;Лаки Степ ЛС06;"<p>Клейкие подушечки от мозолей LS06 защищают кожу пятки от натираний, предотвращают появление новых потертостей, ран и мозолей.</p> 

<h2>Показания к применению клейких подушечек LS06:</h2> 
<ul>
<li>Мозоли на пятке;</li>
<li>Натоптыши на боковых поверхностях стопы.</li>
</ul>

<h2>Действие:</h2>
<ul>
<li>Подушечки LS06 предупреждают развитие мозолей и натоптышей на пятке;</li>
<li>Уменьшают трение кожи на боковых поверхностях стопы;</li>
<li>Обеспечивают максимальный комфорт в любой обуви.</li>
</ul>

<h3>Преимущества клейких подушечек LS06:</h3>
<ul>
<li>Подушечки изготовлены из двухслойного медицинского геля высшего сорта.</li>
</ul>

<p><b>Изделие имеет универсальный размер.</b></p>

";48;UAH;есть в наличии;Lucky Step ;Великобритания;Клейкая подушечка в обувь;Медицинский гель (силикон);;Для закрытой обуви;;;Универсальный;Прозрачный;Упаковка, Клейкие подушечки от мозолей;/supinatory/Lucky_Step_LS06.jpg;/supinatory_add/Lucky_Step_LS06.jpg;/supinatory_add/Lucky_Step_LS06_1.jpg;/supinatory_add/Lucky_Step_LS06_2.jpg
2;Ортопедия;25;Ортопедические стельки, супинаторы;750;750;Lucky Step LS10;Межпальцевая перегородка;Лаки Степ ЛС10;"<p>Межпальцевая перегородка LS10 защищает от мозолей межфаланговых суставов, корректирует вальгусную деформацию большого пальца стопы и помогает исправить молоткообразные пальцы.</p> 

<h2>Показания к применению межпальцевой перегородки LS10:</h2> 
<ul>
<li>Hallux valgus (вальгусная деформация большого пальца стопы);</li>
<li>Молоткообразные и когтеобразные пальцы ног;</li>
<li>Мозоли межфаланговых суставов.</li>
</ul>

<h2>Видеообзор Lucky Step LS10</h2><p><iframe width=""890"" height=""500"" src=""https://www.youtube.com/embed/xf8DxOVIWgs"" frameborder=""0"" allowfullscreen></iframe></p>
<h2>Действие:</h2>
<ul>
<li>Перегородка LS10 обеспечивает отведение большого пальца от второго при их деформации;</li>
<li>Предупреждает развитие мозолей и натоптышей.</li>
</ul>

<h3>Преимущества межпальцевой перегородки LS10:</h3>
<ul>
<li>Модель изготовлена из двухслойного медицинского геля высшего сорта.</li>
</ul>

<p><b>Изделие 3-х размеров.</b></p>

";48;UAH;есть в наличии;Lucky Step ;Великобритания;Ортопедическая межпальцевая перегородка;Медицинский гель (силикон);;Для закрытой обуви;;;1, 2, 3;Белый;Упаковка, Межпальцевая перегородка;/supinatory/Lucky_Step_LS10.jpg;/supinatory_add/Lucky_Step_LS10.jpg;/supinatory_add/Lucky_Step_LS10_1.jpg;
2;Ортопедия;25;Ортопедические стельки, супинаторы;1598;1598;Lucky Step LS20;Межпальцевая перегородка (с 2-мя петлями);Лаки Степ ЛС20;"<p>Силиконовая межпальцевая перегородка Lucky Step LS20 используется для установки промежутка между первым и вторым пальцами стопы. Применяется при начальных стадиях, вальгусной деформации первого пальца, либо при реабилитационном периоде. С помощью силиконовой перегородки создается препятствие приводящего направления большого пальца. При правильном использовании, соблюдении рекомендаций врача и исключении обуви с узким носком, достигается устойчивое терапевтическое действие.</p>

<h2>Показания к применению Перегородки для пальцев Lucky Step LS20:</h2>
<ul>
<li>Скрещенные пальцы на ногах;</li>
<li>Натирания между пальцев;</li>
<li>Образование натоптышей на дистальном (отдаленном) суставе фаланги первого пальца.</li>
</ul>

<h2>Действие:</h2>
<ul>
<li>Lucky Step LS20 увеличивает промежуток между первым и вторым пальцем, возвращая большой палец ближе к его анатомической проекции;</li>
<li>Снижает боль в области суставного соединения Hallux valgus;</li>
<li>Восстанавливает проходимость кровеносных протоков в области «залома»  большого пальца;</li>
<li>Предохраняет силиконовым кольцом натоптыши и потертости на пальцах.</li>
</ul>

<h2>Преимущества Lucky Step LS20:</h2>
<ul>
<li>Межпальцевая перегородка Lucky Step LS20 имеет два кольца для фиксации;</li>
<li>Не скользит при носке обуви или босиком;</li>
<li>Для ухода достаточно промыть теплой водой.</li>
</ul>
";90;UAH;есть в наличии;Lucky Step ;Великобритания;Ортопедическая межпальцевая перегородка;Медицинский гель (силикон);;Для закрытой обуви;;;1, 2;Белый;Упаковка, Межпальцевая перегородка (с 2-мя петлями);/supinatory/Lucky_Step_LS20.jpg;/supinatory_add/Lucky_Step_LS20.jpg;/supinatory_add/Lucky_Step_LS20_1.jpg;
2;Ортопедия;25;Ортопедические стельки, супинаторы;1600;1600;Lucky Step LS27;Межпальцевая перегородка (анатомическая);Лаки Степ ЛС27;"<p>Межпальцевая перегородка анатомическая LS27 эффективна при вальгусной деформации большого пальца стопы, молоткообразных пальцах, мозолях межфаланговых суставов.</p> 

<h2>Показания к применению межпальцевой перегородки анатомической LS27:</h2> 
<ul>
<li>Скрещенные пальцы ног;</li>
<li>Вросшие ногти;</li>
<li>Натоптыши и затвердевания на ступнях ног.</li>
</ul>

<h2>Видеообзор Lucky Step LS27</h2><p><iframe width=""890"" height=""500"" src=""https://www.youtube.com/embed/92VgaUwWB3A"" frameborder=""0"" allowfullscreen></iframe></p>
<h2>Действие:</h2>
<ul>
<li>Смягчает и разделяет деформированные пальцы;</li>
<li>Межпальцевая перегородка анатомическая LS27 уменьшает раздражения на коже пальцев;</li>
<li>Ускоряет процессы заживления ран;</li>
<li>Поглощает давление и трение.</li>
</ul>

<h3>Преимущества межпальцевой перегородки LS27:</h3>
<ul>
<li>Изделие предназначено для ежедневного использования;</li>
<li>Анатомическая форма LS27 обеспечивает правильное и удобное размещение между пальцами ног;</li>
<li>Модель изготовлена из двухслойного медицинского геля высшего сорта.</li>
</ul>

<p><b>Изделие имеет универсальный размер.</b></p>
";45;UAH;есть в наличии;Lucky Step ;Великобритания;Ортопедическая межпальцевая перегородка;Медицинский гель (силикон);;Для закрытой обуви;;;Универсальный;Белый;Упаковка, Межпальцевая перегородка (анатомическая);/supinatory/Lucky_Step_LS27.jpg;/supinatory_add/Lucky_Step_LS27.jpg;/supinatory_add/Lucky_Step_LS27_1.jpg;
2;Ортопедия;25;Ортопедические стельки, супинаторы;761;761;Lucky Step LS16;Наклейка-протектор на пятку (задник) обуви;Лаки Степ ЛС16;"<p>Наклейка (протектор) на пятку обуви LS16 защищает поверхность кожи от появления потертостей, трещин, ран и мозолей.</p> 
<h2>Показания к применению наклейки на пятку обуви LS16:</h2> 
<ul>
<li>Мозоли и натоптыши на пятке;</li>
<li>Повреждения, мозоли и трещины на задней поверхности пятки.</li>
</ul>

<h2>Видеообзор Lucky Step LS16</h2><p><iframe width=""890"" height=""500"" src=""https://www.youtube.com/embed/szbd24-e0yI"" frameborder=""0"" allowfullscreen></iframe></p>

<h2>Действие:</h2>
<ul>
<li>Наклейка LS16 предупреждает развитие мозолей и натоптышей на пятке;</li>
<li>Предотвращает сильное трение кожи со стороны ахиллова сухожилия;</li>
<li>Максимальный комфорт при ношении обуви.</li>
</ul>

<h3>Преимущества наклейки на пятку обуви LS16:</h3>
<ul>
<li>Наклейка изготовлена из двухслойного медицинского геля высшего сорта.</li>
</ul>

<p><b>Изделие имеет универсальный размер.</b></p>
";52;UAH;есть в наличии;Lucky Step ;Великобритания;Клейкая подушечка в обувь;Медицинский гель (силикон);;Для закрытой обуви;;;Универсальный;Прозрачный;Упаковка, Наклейка-протектор на пятку (задник) обуви;/supinatory/Lucky_Step_LS16.jpg;/supinatory_add/Lucky_Step_LS16.jpg;/supinatory_add/Lucky_Step_LS16_1.jpg;/supinatory_add/Lucky_Step_LS16_2.jpg
